Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,3000.0 um
Duration,30 sec
Resolution,0.333 um/sample
Force,3.00 mg
Measurement Range,6.5 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 2970.3 um Width: 2472.1 um
M. Cursor,Pos: 55.9 um Width: 2506.9 um

Scan Data
Lateral um,Raw Angstrom,
284.0,-95.3,,
284.3,-94.4,,
284.7,-92.3,,
285.0,-87.3,,
285.3,-80.1,,
285.7,-74.8,,
286.0,-73.0,,
286.3,-67.5,,
286.7,-68.1,,
287.0,-59.2,,
287.3,-52.6,,
287.7,-45.0,,
288.0,-51.7,,
288.3,-46.3,,
288.7,-37.3,,
289.0,-29.4,,
289.3,-24.3,,
289.7,-21.7,,
290.0,-30.7,,
290.3,-32.8,,
290.7,-26.4,,
291.0,-12.4,,
291.3,-0.0,,
291.7,0.3,,
292.0,-3.0,,
292.3,-8.6,,
292.7,-2.4,,
293.0,10.0,,
293.3,20.0,,
293.7,24.1,,
294.0,24.2,,
294.3,19.3,,
294.7,22.6,,
295.0,29.7,,
295.3,38.0,,
295.7,44.0,,
296.0,47.6,,
296.3,49.6,,
296.7,51.0,,
297.0,52.7,,
297.3,59.5,,
297.7,63.0,,
298.0,64.2,,
298.3,67.6,,
298.7,71.0,,
299.0,71.7,,
299.3,77.4,,
299.7,80.2,,
300.0,80.1,,
300.3,74.2,,
300.7,70.8,,
301.0,69.4,,
301.3,71.5,,
301.7,73.2,,
302.0,75.0,,
302.3,73.1,,
302.7,75.0,,
303.0,75.1,,
303.3,77.4,,
303.7,85.8,,
304.0,91.5,,
304.3,88.5,,
304.7,88.5,,
305.0,90.7,,
305.3,89.9,,
305.7,92.4,,
306.0,93.0,,
306.3,90.2,,
306.7,89.0,,
307.0,88.1,,
307.3,84.7,,
307.7,84.0,,
308.0,82.4,,
308.3,80.9,,
308.7,79.9,,
309.0,81.5,,
309.3,80.7,,
309.7,76.9,,
310.0,73.6,,
310.3,69.3,,
310.7,72.5,,
311.0,70.7,,
311.3,64.0,,
311.7,59.9,,
312.0,55.0,,
312.3,51.9,,
312.7,52.9,,
313.0,49.5,,
313.3,42.9,,
313.7,33.4,,
314.0,19.2,,
314.3,9.5,,
314.7,10.4,,
315.0,9.8,,
315.3,1.4,,
315.7,-9.1,,
316.0,-18.0,,
316.3,-30.0,,
316.7,-33.0,,
317.0,-32.0,,
317.3,-37.3,,
317.7,-49.1,,
318.0,-57.5,,
318.3,-68.4,,
318.7,-72.6,,
319.0,-70.1,,
319.3,-72.3,,
319.7,-78.2,,
320.0,-84.6,,
320.3,-90.5,,
320.7,-97.8,,
321.0,-103.2,,
321.3,-105.4,,
321.7,-110.0,,
322.0,-116.5,,
322.3,-123.1,,
322.7,-128.8,,
323.0,-132.3,,
323.3,-134.9,,
323.7,-141.1,,
324.0,-154.3,,
324.3,-170.0,,
324.7,-179.9,,
325.0,-187.5,,
325.3,-194.1,,
325.7,-200.7,,
326.0,-209.9,,
326.3,-224.1,,
326.7,-237.4,,
327.0,-244.3,,
327.3,-250.3,,
327.7,-260.6,,
328.0,-272.6,,
328.3,-286.4,,
328.7,-296.2,,
329.0,-298.9,,
329.3,-301.0,,
329.7,-306.3,,
330.0,-317.3,,
330.3,-331.3,,
330.7,-344.7,,
331.0,-350.4,,
331.3,-353.2,,
331.7,-360.1,,
332.0,-368.3,,
332.3,-377.8,,
332.7,-388.2,,
333.0,-392.9,,
333.3,-397.4,,
333.7,-406.3,,
334.0,-417.6,,
334.3,-432.0,,
334.7,-447.2,,
335.0,-458.3,,
335.3,-464.1,,
335.7,-471.2,,
336.0,-479.8,,
336.3,-489.5,,
336.7,-501.3,,
337.0,-510.9,,
337.3,-520.7,,
337.7,-527.7,,
338.0,-536.9,,
338.3,-548.8,,
338.7,-560.4,,
339.0,-567.1,,
339.3,-572.0,,
339.7,-575.8,,
340.0,-577.5,,
340.3,-586.5,,
340.7,-601.5,,
341.0,-609.5,,
341.3,-616.3,,
341.7,-624.5,,
342.0,-628.3,,
342.3,-634.8,,
342.7,-646.9,,
343.0,-654.5,,
343.3,-656.4,,
343.7,-661.1,,
344.0,-667.1,,
344.3,-672.8,,
344.7,-683.8,,
345.0,-691.4,,
345.3,-693.8,,
345.7,-696.1,,
346.0,-701.7,,
346.3,-707.9,,
346.7,-720.8,,
347.0,-728.8,,
347.3,-732.9,,
347.7,-737.7,,
348.0,-743.6,,
348.3,-747.4,,
348.7,-755.3,,
349.0,-763.4,,
349.3,-766.3,,
349.7,-768.9,,
350.0,-773.8,,
350.3,-780.1,,
350.7,-790.6,,
351.0,-801.2,,
351.3,-810.3,,
351.7,-813.8,,
352.0,-814.9,,
352.3,-819.4,,
352.7,-827.3,,
353.0,-832.2,,
353.3,-835.4,,
353.7,-839.1,,
354.0,-837.8,,
354.3,-840.1,,
354.7,-847.6,,
355.0,-855.1,,
355.3,-856.1,,
355.7,-857.1,,
356.0,-856.9,,
356.3,-855.1,,
356.7,-859.9,,
357.0,-865.7,,
357.3,-869.2,,
357.7,-872.2,,
358.0,-873.5,,
